filename,prediction
cell_r0_c1_blob_1.png,NUMBER
cell_r0_c2_blob_1.png,NUMBER
cell_r0_c4_blob_1.png,NUMBER
cell_r10_c0_blob_1.png,NUMBER
cell_r10_c10_blob_1.png,NUMBER
cell_r10_c13_blob_1.png,NUMBER
cell_r10_c14_blob_1.png,NUMBER
cell_r10_c15_blob_1.png,NUMBER
cell_r10_c18_blob_1.png,NUMBER
cell_r10_c4_blob_1.png,NUMBER
cell_r10_c6_blob_1.png,NUMBER
cell_r10_c7_blob_1.png,NUMBER
cell_r10_c9_blob_1.png,NUMBER
cell_r11_c0_blob_1.png,NUMBER
cell_r11_c10_blob_1.png,NUMBER
cell_r11_c11_blob_1.png,NUMBER
cell_r11_c12_blob_1.png,NUMBER
cell_r11_c13_blob_1.png,NUMBER
cell_r11_c14_blob_1.png,NUMBER
cell_r11_c15_blob_1.png,NUMBER
cell_r11_c16_blob_1.png,NUMBER
cell_r11_c17_blob_1.png,NUMBER
cell_r11_c18_blob_1.png,NUMBER
cell_r11_c5_blob_1.png,NUMBER
cell_r11_c6_blob_1.png,NUMBER
cell_r11_c7_blob_1.png,NUMBER
cell_r12_c0_blob_1.png,NUMBER
cell_r12_c1_blob_1.png,NUMBER
cell_r12_c1_blob_2.png,NUMBER
cell_r12_c3_blob_1.png,NUMBER
cell_r13_c0_blob_1.png,NUMBER
cell_r13_c10_blob_1.png,NUMBER
cell_r13_c11_blob_1.png,NUMBER
cell_r13_c13_blob_1.png,NUMBER
cell_r13_c15_blob_1.png,NUMBER
cell_r13_c16_blob_1.png,NUMBER
cell_r13_c17_blob_1.png,NUMBER
cell_r13_c18_blob_1.png,NUMBER
cell_r13_c1_blob_1.png,NUMBER
cell_r13_c5_blob_1.png,NUMBER
cell_r13_c7_blob_1.png,NUMBER
cell_r13_c8_blob_1.png,NUMBER
cell_r14_c0_blob_1.png,NUMBER
cell_r14_c10_blob_1.png,NUMBER
cell_r14_c11_blob_1.png,NUMBER
cell_r14_c12_blob_1.png,NUMBER
cell_r14_c13_blob_1.png,NUMBER
cell_r14_c15_blob_1.png,NUMBER
cell_r14_c16_blob_1.png,NUMBER
cell_r14_c17_blob_1.png,NUMBER
cell_r14_c18_blob_1.png,NUMBER
cell_r14_c1_blob_1.png,NUMBER
cell_r14_c4_blob_1.png,NUMBER
cell_r14_c6_blob_1.png,NUMBER
cell_r14_c7_blob_1.png,NUMBER
cell_r14_c9_blob_1.png,NUMBER
cell_r15_c0_blob_1.png,NUMBER
cell_r15_c10_blob_1.png,NUMBER
cell_r15_c11_blob_1.png,NUMBER
cell_r15_c12_blob_1.png,NUMBER
cell_r15_c14_blob_1.png,NUMBER
cell_r15_c16_blob_1.png,NUMBER
cell_r15_c17_blob_1.png,NUMBER
cell_r15_c18_blob_1.png,NUMBER
cell_r15_c1_blob_1.png,NUMBER
cell_r15_c6_blob_1.png,NUMBER
cell_r15_c7_blob_1.png,NUMBER
cell_r15_c9_blob_1.png,NUMBER
cell_r16_c0_blob_1.png,NUMBER
cell_r16_c10_blob_1.png,NUMBER
cell_r16_c13_blob_1.png,NUMBER
cell_r16_c15_blob_1.png,NUMBER
cell_r16_c16_blob_1.png,NUMBER
cell_r16_c18_blob_1.png,NUMBER
cell_r16_c1_blob_1.png,NUMBER
cell_r16_c4_blob_1.png,NUMBER
cell_r16_c7_blob_1.png,NUMBER
cell_r16_c9_blob_1.png,NUMBER
cell_r17_c0_blob_1.png,NUMBER
cell_r17_c10_blob_1.png,NUMBER
cell_r17_c11_blob_1.png,NUMBER
cell_r17_c13_blob_1.png,NUMBER
cell_r17_c14_blob_1.png,NUMBER
cell_r17_c15_blob_1.png,NUMBER
cell_r17_c16_blob_1.png,NUMBER
cell_r17_c17_blob_1.png,NUMBER
cell_r17_c18_blob_1.png,NUMBER
cell_r17_c1_blob_1.png,NUMBER
cell_r17_c6_blob_1.png,NUMBER
cell_r17_c7_blob_1.png,NUMBER
cell_r17_c9_blob_1.png,NUMBER
cell_r18_c11_blob_1.png,NUMBER
cell_r18_c17_blob_1.png,NUMBER
cell_r18_c18_blob_1.png,NUMBER
cell_r18_c7_blob_1.png,NUMBER
cell_r19_c11_blob_1.png,NUMBER
cell_r19_c15_blob_1.png,NUMBER
cell_r19_c17_blob_1.png,NUMBER
cell_r19_c18_blob_1.png,NUMBER
cell_r19_c4_blob_1.png,NUMBER
cell_r19_c7_blob_1.png,NUMBER
cell_r1_c2_blob_2.png,NUMBER
cell_r1_c4_blob_2.png,NUMBER
cell_r20_c11_blob_1.png,NUMBER
cell_r20_c15_blob_1.png,NUMBER
cell_r20_c17_blob_1.png,NUMBER
cell_r20_c18_blob_1.png,NUMBER
cell_r20_c7_blob_1.png,NUMBER
cell_r2_c0_blob_2.png,NUMBER
cell_r2_c1_blob_1.png,NUMBER
cell_r2_c3_blob_4.png,NUMBER
cell_r2_c6_blob_2.png,NUMBER
cell_r2_c7_blob_1.png,NUMBER
cell_r2_c7_blob_2.png,NUMBER
cell_r3_c0_blob_1.png,NUMBER
cell_r3_c11_blob_1.png,NUMBER
cell_r3_c13_blob_1.png,NUMBER
cell_r3_c14_blob_1.png,NUMBER
cell_r3_c15_blob_1.png,NUMBER
cell_r3_c17_blob_1.png,NUMBER
cell_r3_c18_blob_1.png,NUMBER
cell_r3_c1_blob_1.png,NUMBER
cell_r3_c2_blob_1.png,NUMBER
cell_r3_c3_blob_1.png,NUMBER
cell_r3_c4_blob_1.png,NUMBER
cell_r3_c6_blob_1.png,NUMBER
cell_r3_c7_blob_1.png,NUMBER
cell_r3_c8_blob_1.png,NUMBER
cell_r3_c9_blob_1.png,NUMBER
cell_r4_c0_blob_1.png,NUMBER
cell_r4_c10_blob_1.png,NUMBER
cell_r4_c12_blob_1.png,NUMBER
cell_r4_c14_blob_1.png,NUMBER
cell_r4_c16_blob_1.png,NUMBER
cell_r4_c17_blob_1.png,NUMBER
cell_r4_c18_blob_1.png,NUMBER
cell_r4_c1_blob_1.png,NUMBER
cell_r4_c5_blob_1.png,NUMBER
cell_r4_c6_blob_1.png,NUMBER
cell_r4_c7_blob_1.png,NUMBER
cell_r4_c9_blob_1.png,NUMBER
cell_r5_c0_blob_1.png,NUMBER
cell_r5_c1_blob_1.png,NUMBER
cell_r6_c10_blob_1.png,NUMBER
cell_r6_c13_blob_1.png,NUMBER
cell_r6_c14_blob_1.png,NUMBER
cell_r6_c15_blob_1.png,NUMBER
cell_r6_c16_blob_1.png,NUMBER
cell_r6_c17_blob_1.png,NUMBER
cell_r6_c18_blob_1.png,NUMBER
cell_r6_c1_blob_1.png,NUMBER
cell_r6_c4_blob_1.png,NUMBER
cell_r6_c5_blob_1.png,NUMBER
cell_r6_c7_blob_1.png,NUMBER
cell_r6_c8_blob_1.png,NUMBER
cell_r6_c9_blob_1.png,NUMBER
cell_r7_c0_blob_1.png,NUMBER
cell_r7_c10_blob_1.png,NUMBER
cell_r7_c13_blob_1.png,NUMBER
cell_r7_c15_blob_1.png,NUMBER
cell_r7_c16_blob_1.png,NUMBER
cell_r7_c17_blob_1.png,NUMBER
cell_r7_c18_blob_1.png,NUMBER
cell_r7_c6_blob_1.png,NUMBER
cell_r7_c9_blob_1.png,NUMBER
cell_r8_c0_blob_1.png,NUMBER
cell_r8_c10_blob_1.png,NUMBER
cell_r8_c12_blob_1.png,NUMBER
cell_r8_c14_blob_1.png,NUMBER
cell_r8_c15_blob_1.png,NUMBER
cell_r8_c16_blob_1.png,NUMBER
cell_r8_c17_blob_1.png,NUMBER
cell_r8_c18_blob_1.png,NUMBER
cell_r8_c19_blob_1.png,NUMBER
cell_r8_c1_blob_1.png,NUMBER
cell_r8_c4_blob_1.png,NUMBER
cell_r8_c6_blob_1.png,NUMBER
cell_r8_c7_blob_1.png,NUMBER
cell_r9_c0_blob_1.png,NUMBER
cell_r9_c18_blob_1.png,NUMBER
cell_r9_c1_blob_1.png,NUMBER
